#,Region,Region,المنطقة,المنطقة,City,المدينة,Remote/Main,SID,Old Name,New Name,External Code,Anydesk ID,English Display Name - New,Arabic Display Name - New,latitude,longitude,Google Maps Link,Glass Room,Location Owner,SIM SN,Retail / LM,Short Address,Buliding NO.,Street Name,Street Name Arabic,District Eng,District Arabic,Zip code,Additional No.,Address,Main Modules,Adder Modules,Working Hours,Order #,Installed
13,Northern,,الشمالية,,Turaif,طريف,Remote,PSTR1013,,225887,150400,1601221166,Old Industrial Area Parcel Station - Turaif - SPL,محطة طرود الصناعية القديمة - طريف - سبل,31.672869,38.662917,https://goo.gl/maps/3KdUzYjJSU4Yeng7A,YES,SPL Retail,8.99664181911766E+018,Retail,SCJA3487,3487,Omar Ibn Al Khattab Street,طريق عمر بن الخطاب,,,75311,8030,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
14,Northern,,الشمالية,,Hail,حائل,Remote,PSHA1014,,225888,216947,1984449513,Al Matar Parcel Station - Hail - SPL,محطة طرود حي المطار - حائل - سبل,27.494722,41.697377,https://goo.gl/maps/Ys2JKJLfEgrqY6qD6,YES,SPL Retail,8.99664181911766E+018,Retail,HADC7554,7554,Al Jamaaieen 2 Street,طريق الجامعيين 2,,,55421,5073,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
15,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1015,220797,225889,215521,1101590368,Al Amal Parcel Station - Riyadh - SPL,محطة طرود حي العمل - الرياض - سبل,24.650767,46.716447,https://goo.gl/maps/Qc6f5uCTUamEj9QV6,YES,SPL Retail,8.99664181911766E+018,Retail,RCSA8228,8228,King Abdulaziz Road,طريق الملك عبدالعزيز,,,12643,2121,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
16,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1017,220535,225890,152211,177383632,Al Shifa Parcel Station - Riyadh - SPL,محطة طرود الشفا - الرياض - سبل ,24.575591,46.69744,https://maps.app.goo.gl/K7wagoMVinuNR4TN6,YES,SPL Retail,8.99664181911766E+018,Retail,RLFA2263,2263,Ibrahim Ibn Jumaiah Street,طريق إبراهيم بن جميعة,,,14712,7488,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
17,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1018,220536,225891,25810,736749129,Al Olaya Parcel Station 1 - Riyadh - SPL,محطة طرود العليا 1 - الرياض - سبل,24.673609,46.694234,https://goo.gl/maps/3b3tADreEzFEtp6j7,YES,SPL Retail,8.99664181911766E+018,Retail,RHOB2555,8544,Abdul Malik Ibn Marwan Street,طريق عبد الملك بن مروان,,,12611,2555,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
18,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1019,221024,225892,25810,1339113950,Al Olaya Parcel Station 2 - Riyadh - SPL,محطة طرود العليا 2 - الرياض - سبل,24.673609,46.694234,https://goo.gl/maps/3b3tADreEzFEtp6j7,YES,SPL Retail,8.99664181911766E+018,Retail,RHOB2555,8544,Abdul Malik Ibn Marwan Street,طريق عبد الملك بن مروان,,,12611,2555,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
19,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1020,220689,225893,152215,166127851,West Nassem Parcel Station 1 - Riyadh - SPL,محطة طرود النسيم الغربية 1 - الرياض - سبل,24.729468,46.822832,https://goo.gl/maps/h7Ao5XSNtsVQUVLQA,YES,SPL Retail,8.99664181911766E+018,Retail,RQNA2753,2753, Al Imam Ahmad Bin Hanbal Street,طريق الإمام أحمد بن حنبل,,,14233,8929,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
20,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1021,221073,225894,152215,1651039951,West Nassem Parcel Station 2 - Riyadh - SPL,محطة طرود النسيم الغربية 2 - الرياض - سبل,24.729371,46.822664,https://goo.gl/maps/h7Ao5XSNtsVQUVLQA,YES,SPL Retail,8.99664181911766E+018,Retail,RQNA2753,2753,Al Imam Ahmad Bin Hanbal Street,طريق الإمام أحمد بن حنبل,,,14233,8929,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
21,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1024,,225896,-,166127851,Al Bayan Parcel Station - Riyadh - Aldress,محطة طرود البيان - الرياض - الدريس,24.685375,46.822239,https://goo.gl/maps/aBo3nmtEszJxuZhL8,YES,Aldress,8.99664181911766E+018,LM,RQFA4644,4644,Al Bayan Street,طريق البيان,,,14253,7931,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
22,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1025,,225897,-,1767929001,Al Nadheem Parcel Station - Riyadh - Aldress,محطة طرود النظيم - الرياض - الدريس,24.813274,46.878199,https://goo.gl/maps/1YqRTi1ymZhvnfxT7,YES,Aldress,8.99664181911766E+018,LM,RSNA7401,7401,Khurais Street,طريق خريص,,,14814,2279,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
23,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1026,,225898,-,1551199912,Al Badiah Parcel Station - Riyadh - Aldress,محطة طرود البديعة - الرياض - الدريس,24.616919,46.675413,https://goo.gl/maps/emwzFpSiz2fnd7ou6,YES,Aldress,8.99664181911766E+018,LM,RBBA6440,6440,Prince Fahad Ibn Faisal Ibn Farhan Saud Street,طريق الأمير فهد ابن فيصل ابن فرحان سعود,,,12755,3865,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
24,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1027,221022,225899,152210,1216788552,Al Badiah Parcel Station - Riyadh - SPL,محطة طرود البديعة - الرياض - سبل,24.587466,46.603632,https://goo.gl/maps/9nzC6tH6mDGpssP57,YES,SPL Retail,8.99664181911766E+018,Retail,RIUE7197,7197,Prince Mussaed Ibn Abdulrahman Ibn Faisal Street,طريق الأمير مساعد بن عبدالرحمن بن فيصل,,,12977,2890,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
25,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1028,220693,225900,152204,1851932586,Al Malaz Parcel Station - Riyadh - SPL,محطة طرود الملز - الرياض - سبل,24.670376,46.729341,https://goo.gl/maps/ZH4moWvghmrB3Pm48,YES,SPL Retail,8.99664181911766E+018,Retail,REMA2309,2309,Jarir Street,طريق جرير,,,12836,7050,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
